id,name,category,a125,a250,a500,a1000,a2000,a4000,NRC,source,notes
concrete-block-painted,"Concrete masonry block, painted/sealed","Hard surfaces",0.10,0.05,0.06,0.07,0.09,0.08,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).","Lightweight concrete masonry unit (cinder/breeze block) with the surface pores sealed by paint — reflective. Not the same as solid/cast concrete, which is lower still (~0.01–0.05; see “Concrete or terrazzo floor”)."
concrete-block-coarse,"Concrete masonry block, coarse/unpainted","Hard surfaces",0.36,0.44,0.31,0.29,0.39,0.25,0.35,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).","This is coarse, open-pored LIGHTWEIGHT concrete masonry block (cinder/breeze block) — NOT solid or cast concrete. Its rough porous surface makes it a genuine mid-band absorber; sealing or painting the pores collapses it to ~0.05 (see the painted row). Solid/dense concrete is reflective (~0.01–0.05, consistent with DIN 18041; see “Concrete or terrazzo floor”) — do not use these figures for a poured-concrete wall. These are nominal aggregated table values (architectural-acoustics/Beranek lineage), not an in-hand primary test report: cross-check the PTB database and verify against the specific block before relying on them for design."
brick-unglazed,"Brick, unglazed","Hard surfaces",0.03,0.03,0.03,0.04,0.05,0.07,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
plaster-on-brick,"Plaster on masonry","Hard surfaces",0.01,0.01,0.02,0.03,0.04,0.05,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
gypsum-board,"Gypsum board (12 mm on studs)","Hard surfaces",0.29,0.10,0.05,0.04,0.07,0.09,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).","Resonant absorption near 125 Hz from the cavity."
marble-tile,"Marble or glazed tile","Hard surfaces",0.01,0.01,0.01,0.01,0.02,0.02,0.00,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
cork-tile,"Cork tiles, 25 mm, on solid backing","Hard surfaces",0.02,0.02,0.03,0.04,0.04,0.05,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).","Cork is a poor absorber; useful for floors and pinboards, not treatment."
concrete-floor,"Concrete or terrazzo floor","Floors",0.01,0.01,0.01,0.02,0.02,0.02,0.00,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
vinyl-on-concrete,"Vinyl / linoleum on concrete","Floors",0.02,0.03,0.03,0.03,0.03,0.02,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
wood-floor,"Wood floor on joists","Floors",0.15,0.11,0.10,0.07,0.06,0.07,0.10,"Bies, D. & Hansen, C. — Engineering Noise Control, appendix absorption tables.",""
parquet-on-concrete,"Parquet on concrete","Floors",0.04,0.04,0.07,0.06,0.06,0.07,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
carpet-thin,"Carpet, thin, on concrete","Floors",0.02,0.06,0.14,0.37,0.60,0.65,0.30,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
carpet-medium-underlay,"Carpet, medium, on felt underlay","Floors",0.05,0.15,0.35,0.55,0.65,0.70,0.45,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
carpet-heavy-pad,"Carpet, heavy, on foam pad","Floors",0.08,0.24,0.57,0.69,0.71,0.73,0.55,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
